Orden;Familia;Genero;Nombre_Cientifico;Count;Municipio;Departamento;Latitud;Longitud;Date;Clasificación
Apodiformes;Trochilidae;Chlorostilbon;Chlorostilbon melanorhynchus;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
APODIFORMES;TROCHILIDAE;Amazilia;Amazilia saucerottei;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Cathartiformes;Cathartidae;Coragyps;Coragyps atratus;2;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Accipitriformes;Accipitridae;Rupornis;Rupornis magnirostris;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Piciformes;Picidae;Colaptes;Colaptes rubiginosus;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Tyrannidae;Myiodynastes;Myiodynastes chrysocephalus;2;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Tyrannidae;Tyrannus;Tyrannus melancholicus;2;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Troglodytidae;Henicorhina;Henicorhina leucophrys;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Passerellidae;Atlapetes;Atlapetes albinucha;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Icteridae;Molothrus;Molothrus bonariensis;2;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Thraupidae;Ramphocelus;Ramphocelus flammigerus;2;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Thraupidae;Coereba;Coereba flaveola;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Pelecaniformes;Ardeidae;Bubulcus;Bubulcus ibis;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Thamnophilidae;Thamnophilus;Thamnophilus multistriatus;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Furnariidae;Synallaxis;Synallaxis azarae;1;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
Passeriformes;Hirundinidae;Pygochelidon;Pygochelidon cyanoleuca;6;Manizales;Caldas;5.068;-75.505;07 Jul 2020;R
