"","Orden","Familia","Genero","Nombre_Cientifico","Count","Municipio","Departamento","Latitud","Longitud","Date","Clasificación"
"1","Apodiformes","Trochilidae","Chlorostilbon","Chlorostilbon melanorhynchus",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"2","APODIFORMES","TROCHILIDAE","Amazilia","Amazilia saucerottei",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"3","Cathartiformes","Cathartidae","Coragyps","Coragyps atratus",2,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"4","Accipitriformes","Accipitridae","Rupornis","Rupornis magnirostris",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"5","Piciformes","Picidae","Colaptes","Colaptes rubiginosus",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"6","Passeriformes","Tyrannidae","Myiodynastes","Myiodynastes chrysocephalus",2,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"7","Passeriformes","Tyrannidae","Tyrannus","Tyrannus melancholicus",2,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"8","Passeriformes","Troglodytidae","Henicorhina","Henicorhina leucophrys",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"9","Passeriformes","Passerellidae","Atlapetes","Atlapetes albinucha",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"10","Passeriformes","Icteridae","Molothrus","Molothrus bonariensis",2,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"11","Passeriformes","Thraupidae","Ramphocelus","Ramphocelus flammigerus",2,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"12","Passeriformes","Thraupidae","Coereba","Coereba flaveola",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"13","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"14","Passeriformes","Thamnophilidae","Thamnophilus","Thamnophilus multistriatus",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"15","Passeriformes","Furnariidae","Synallaxis","Synallaxis azarae",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"16","Passeriformes","Hirundinidae","Pygochelidon","Pygochelidon cyanoleuca",6,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"17","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia capensis",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"18","Passeriformes","Thraupidae","Sporophila","Sporophila nigricollis",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"19","Passeriformes","Thraupidae","Tiaris","Tiaris olivaceus",1,"Manizales","Caldas",5.068,-75.505,"07 Jul 2020","R"
"20","Charadriiformes","Charadriidae","Vanellus","Vanellus chilensis",2,"Manizales","Caldas",5.068,-75.505,"05 Jul 2020","R"
"21","Piciformes","Picidae","Dryobates","Dryobates fumigatus",1,"Manizales","Caldas",5.068,-75.505,"04 Jul 2020","R"
"22","Passeriformes","Fringillidae","Euphonia","Euphonia laniirostris",2,"Manizales","Caldas",5.068,-75.505,"04 Jul 2020","R"
"23","Coraciiformes","Momotidae","Momotus","Momotus aequatorialis",1,"Manizales","Caldas",5.068,-75.505,"03 Jul 2020","R"
"24","Passeriformes","Troglodytidae","Pheugopedius","Pheugopedius mystacalis",1,"Manizales","Caldas",5.068,-75.505,"03 Jul 2020","R"
"25","Passeriformes","Thraupidae","Stilpnia","Stilpnia vitriolina",2,"Manizales","Caldas",5.068,-75.505,"03 Jul 2020","R"
"26","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",1,"Manizales","Caldas",5.068,-75.505,"01 Jul 2020","R"
"27","Caprimulgiformes","Caprimulgidae","Systellura","Systellura longirostris",1,"Manizales","Caldas",5.068,-75.505,"30 Jun 2020","R"
"28","Passeriformes","Turdidae","Turdus","Turdus ignobilis",1,"Manizales","Caldas",5.068,-75.505,"29 Jun 2020","R"
"29","Passeriformes","Thraupidae","Tangara","Tangara gyrola",2,"Manizales","Caldas",5.068,-75.505,"29 Jun 2020","R"
"30","Passeriformes","Thraupidae","Sicalis","Sicalis flaveola",4,"Manizales","Caldas",5.068,-75.505,"29 Jun 2020","R"
"31","Columbiformes","Columbidae","Zenaida","Zenaida auriculata",3,"Manizales","Caldas",5.068,-75.505,"28 Jun 2020","R"
"32","Passeriformes","Thamnophilidae","Taraba","Taraba major",1,"Manizales","Caldas",5.068,-75.505,"28 Jun 2020","R"
"33","Passeriformes","Thraupidae","Thraupis","Thraupis episcopus",2,"Manizales","Caldas",5.068,-75.505,"28 Jun 2020","R"
"34","Passeriformes","Thraupidae","Saltator","Saltator striatipectus",1,"Manizales","Caldas",5.068,-75.505,"28 Jun 2020","R"
"35","Psittaciformes","Psittacidae","Leptosittaca","Leptosittaca branickii",14,"Manizales","Caldas",5.068,-75.505,"26 Jun 2020","R"
"36","Passeriformes","Fringillidae","Spinus","Spinus psaltria",2,"Manizales","Caldas",5.068,-75.505,"26 Jun 2020","R"
"37","Passeriformes","Tyrannidae","Elaenia","Elaenia frantzii",1,"Manizales","Caldas",5.068,-75.505,"24 Jun 2020","R"
"38","Passeriformes","Thraupidae","Saltator","Saltator atripennis",1,"Manizales","Caldas",5.068,-75.505,"21 Jun 2020","R"
"39","Apodiformes","Trochilidae","Colibri","Colibri coruscans",1,"Manizales","Caldas",5.068,-75.505,"20 Jun 2020","R"
"40","Strigiformes","Strigidae","Pulsatrix","Pulsatrix perspicillata",1,"Manizales","Caldas",5.068,-75.505,"19 Jun 2020","R"
"41","Passeriformes","Furnariidae","Lepidocolaptes","Lepidocolaptes lacrymiger",1,"Manizales","Caldas",5.068,-75.505,"07 Jun 2020","R"
"42","Columbiformes","Columbidae","Columba","Columba livia",1,"Manizales","Caldas",5.068,-75.505,"06 Jun 2020","In"
"43","Passeriformes","Thraupidae ","Chlorophanes","Chlorophanes spiza",1,"Manizales","Caldas",5.068,-75.505,"06 Jun 2020","R"
"44","APODIFORMES","TROCHILIDAE","Amazilia","Amazilia tzacatl",1,"Manizales","Caldas",5.068,-75.505,"06 Jun 2020","R"
"45","Passeriformes","Thraupidae","Thraupis","Thraupis palmarum",2,"Manizales","Caldas",5.068,-75.505,"06 Jun 2020","R"
"46","Piciformes","Ramphastidae","Aulacorhynchus","Aulacorhynchus albivitta",1,"Manizales","Caldas",5.068,-75.505,"29 May 2020","R"
"47","Passeriformes","Thraupidae","Stilpnia","Stilpnia heinei",2,"Manizales","Caldas",5.068,-75.505,"15 May 2020","R"
"48","Passeriformes","Turdidae","Turdus","Turdus fuscater",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"49","Passeriformes","Tyrannidae","Todirostrum","Todirostrum cinereum",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"50","Passeriformes","Tyrannidae","Pitangus","Pitangus sulphuratus",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"51","Passeriformes","Vireonidae","Vireo","Vireo leucophrys",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"52","Columbiformes","Columbidae","Patagioenas","Patagioenas fasciata",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"53","Passeriformes","Parulidae","Myioborus","Myioborus miniatus",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"54","Passeriformes","Corvidae","Cyanocorax","Cyanocorax yncas",2,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"55","Passeriformes","Thraupidae","Tangara","Tangara arthus",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"56","Passeriformes","Furnariidae","Synallaxis","Synallaxis brachyura",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"57","Passeriformes","Tyrannidae","Zimmerius","Zimmerius chrysops",1,"Manizales","Caldas",5.068,-75.505,"09 May 2020","R"
"58","Passeriformes","Tyrannidae","Contopus","Contopus virens",2,"Manizales","Caldas",5.068,-75.505,"12 Apr 2020","Mb"
"59","Passeriformes","Parulidae","Setophaga","Setophaga fusca",1,"Manizales","Caldas",5.068,-75.505,"07 Apr 2020","Mb"
"60","Passeriformes","Tyrannidae","Empidonax","Empidonax virescens",1,"Manizales","Caldas",5.068,-75.505,"04 Apr 2020","Mb"
"61","Passeriformes","Cardinalidae","Piranga","Piranga flava",1,"Manizales","Caldas",5.068,-75.505,"01 Apr 2020","R"
"62","Passeriformes","Fringillidae","Spinus","Spinus xanthogastrus",1,"Manizales","Caldas",5.068,-75.505,"25 Feb 2020","R"
